Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
16237907,The Marines Take Anbar: The Four Year Fight Against al Qaeda (Leatherneck Classics),Richard H. Shultz Jr.,"Jr., Richard H. Shultz",,"=""1612511406""","=""9781612511405""",0,4.12,Naval Institute Press,Hardcover,288,2013,2013,,2025/03/24,to-read,to-read (#972),to-read,,,,0,0
26150768,The Last Ranch (Kerney Family #3),Michael McGarrity,"McGarrity, Michael",,"=""0525953256""","=""9780525953258""",0,4.30,Dutton,Hardcover,525,2016,2016,,2025/03/24,to-read,to-read (#971),to-read,,,,0,0
18668055,"Backlands (Kerney Family, #2)",Michael McGarrity,"McGarrity, Michael",,"=""0525953248""","=""9780525953241""",0,4.37,Dutton,Hardcover,528,2014,2014,,2025/03/24,to-read,to-read (#970),to-read,,,,0,0
13091203,"Hard Country (Kerney Family, #1)",Michael McGarrity,"McGarrity, Michael",,"=""0525952462""","=""9780525952466""",0,4.16,Dutton,Hardcover,608,2012,2012,,2025/03/24,to-read,to-read (#969),to-read,,,,0,0
34536488,Principles: Life and Work,Ray Dalio,"Dalio, Ray",Jeremy Bobb,"=""1508243247""","=""9781508243243""",0,4.11,Simon & Schuster Audio,Audio CD,16,2017,2017,,2025/03/19,to-read,to-read (#968),to-read,,,,0,0
42078160,Training for the Uphill Athlete: A Manual for Mountain Runners and Ski Mountaineers,Steve House,"House, Steve","Scott Johnston, Kilian Jornet","=""1938340841""","=""9781938340840""",0,4.56,Patagonia,Paperback,368,2019,2019,,2025/03/19,to-read,to-read (#967),to-read,,,,0,0
19120728,Run or Die,Kilian Jornet,"Jornet, Kilian",,"=""193771635X""","=""9781937716356""",0,3.61,VeloPress,Kindle Edition,191,2013,2011,,2025/03/19,to-read,to-read (#966),to-read,,,,0,0
61043265,Born to run,Christopher McDougall,"McDougall, Christopher","Jean-Philippe Lefief, Kilian Jornet","=""2375021495""","=""9782375021491""",0,4.31,PAULSEN,Pocket Book,444,2022,2009,,2025/03/19,to-read,to-read (#965),to-read,,,,0,0
49867413,Above the Clouds: How I Carved My Own Path to the Top of the World,Kilian Jornet,"Jornet, Kilian",Charlotte Whittle,"=""0062965034""","=""9780062965035""",0,3.65,HarperOne,Hardcover,240,2020,2018,,2025/03/19,to-read,to-read (#964),to-read,,,,0,0
108236021,The Race that Changed Running: The Inside Story of UTMB,Doug Mayer,"Mayer, Doug",,"=""3039640143""","=""9783039640140""",0,3.98,Helvetiq,Paperback,208,2023,,,2025/03/19,to-read,to-read (#963),to-read,,,,0,0
220395156,Ocean: Earth’s Last Wilderness,David Attenborough,"Attenborough, David",Colin Butfield,"=""1538772299""","=""9781538772294""",0,4.67,Grand Central Publishing,Hardcover,400,2025,2025,,2025/03/19,to-read,to-read (#962),to-read,,,,0,0
